City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,constantia,44.1833,28.65,284.65,57,100,2.15,RO,1715549674
84,lihue,21.9789,-159.3672,299.73,76,20,5.14,US,1715549674
85,sikka,22.4333,69.8333,300.76,77,1,4.43,IN,1715549674
86,georgetown,5.4112,100.3354,300.34,91,40,1.54,MY,1715549675
87,teyateyaneng,-29.1472,27.7489,283.66,27,0,1.84,LS,1715549675
88,ust-nera,64.5667,143.2,272.33,61,62,0.92,RU,1715549675
89,saipan,15.1355,145.701,302.54,70,40,6.17,MP,1715549675
90,lagoa,39.05,-27.9833,290.45,94,1,6.08,PT,1715549676
91,qui nhon,13.7667,109.2333,298.69,90,13,1.79,VN,1715549676
92,murmashi,68.8154,32.8115,276.38,70,75,0.0,RU,1715549676
93,ribeira brava,32.65,-17.0667,292.5,69,69,0.39,PT,1715549676
94,christchurch,-43.5333,172.6333,282.89,84,100,1.54,NZ,1715549676
95,hamilton,39.1834,-84.5333,298.66,40,0,4.12,US,1715549677
96,greymouth,-42.4667,171.2,282.38,67,18,2.95,NZ,1715549677
97,juba,4.8517,31.5825,299.84,46,92,1.75,SS,1715549677
98,lazaro cardenas,17.9583,-102.2,302.13,51,83,5.26,MX,1715549677
99,whakatane,-37.9585,176.9854,286.36,89,100,1.34,NZ,1715549678
100,monrovia,6.3005,-10.7969,300.02,85,80,3.22,LR,1715549678
101,mhangura,-16.8939,30.1683,290.15,64,43,2.39,ZW,1715549678
102,kerikeri,-35.2268,173.9474,285.88,93,1,1.6,NZ,1715549678
103,st. john's,47.5649,-52.7093,285.81,92,20,6.17,CA,1715549407
104,sur,22.5667,59.5289,303.65,55,20,4.06,OM,1715549679
105,marka,1.7159,44.7717,300.28,87,100,6.42,SO,1715549679
106,kismayo,-0.3582,42.5454,299.99,86,78,5.97,SO,1715549679
107,gadzhiyevo,69.2551,33.3362,274.3,99,100,0.68,RU,1715549679
108,safi,32.1667,-8.8333,291.26,70,55,7.63,MA,1715549680
109,mangrol,21.1167,70.1167,300.66,78,6,4.37,IN,1715549680
110,eatonton,33.3268,-83.3885,301.68,39,74,1.87,US,1715549680
111,tiksi,71.6872,128.8694,265.3,87,100,0.87,RU,1715549680
112,kandi,11.1342,2.9386,302.93,56,61,1.42,BJ,1715549680
113,shakawe,-18.3667,21.85,291.38,29,2,2.61,BW,1715549681
114,new norfolk,-42.7826,147.0587,285.88,93,100,1.25,AU,1715549681
115,bhusaval,21.05,75.7667,304.37,44,63,1.38,IN,1715549681
116,karagay,58.2667,54.9368,270.35,96,8,1.89,RU,1715549681
117,tura,25.5198,90.2201,295.24,85,3,1.6,IN,1715549682
118,tralee,52.2704,-9.7026,282.99,94,100,0.53,IE,1715549682
119,olonkinbyen,70.9221,-8.7187,274.07,100,100,4.66,SJ,1715549682
120,kavieng,-2.5744,150.7967,301.61,79,95,1.43,PG,1715549682
121,manta,-0.95,-80.7333,302.03,65,100,6.17,EC,1715549683
